season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975,reference_mean_adjusted_epa_db,reference_sd_player_rates,source_pass_plus_manifest
2018,00-0023459,A.Rodgers,677,16,75.5808557154709,0.11164085039212837,0.465288035450517,49,33,9,0,19669,0.056297614668360245,0.055343235723768126,37.467370584991016,8.107930659606902,0.011976263898976222,0.1236171142911046,45.57530124459792,104.71112763094867,677,0.04908200666859852,0.18855218636024912,99.49504006398932,109.2553891592865,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0023459,A.Rodgers,630,16,59.66864048876921,0.09471212775995114,0.44285714285714284,36,26,11,0,19839,0.0422891649790085,0.052422962780942634,33.026466551993856,-0.4165552189424664,-0.0006611987602261371,0.094050928999725,32.60991133305139,104.36495849762285,630,-0.05455326538235576,0.25159343567341597,91.83348563686694,117.65018005550692,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0023459,A.Rodgers,567,16,193.32127327361033,0.34095462658485065,0.544973544973545,20,24,7,0,19932,0.0778852461675433,0.2630693804173073,149.16033869661328,-4.404690060262713,-0.007768412804696142,0.3331862137801545,144.75564863635057,121.02706341064467,567,0.17613498356896398,0.48361191064656406,108.09203144718833,133.41640410205912,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2021,00-0023459,A.Rodgers,575,16,141.11106048928247,0.2454105399813608,0.5130434782608696,30,17,8,0,20799,0.04047878194474436,0.20493175803661645,117.83576087105446,1.1821856871232708,0.002055975108040471,0.2474665150894013,119.01794655817773,116.78090100127177,575,0.12128298624087891,0.3606264214279955,106.55095513236203,125.95499628088932,0.040478781944744364,0.18502081604167445,data/metadata/20260915T175349423779Z/pass_plus_manifest.json
2022,00-0023459,A.Rodgers,585,17,-4.8356326597282075,-0.008266038734578133,0.4495726495726496,32,13,8,0,20210,0.015473245525922667,-0.0237392842605008,-13.887481292392966,-2.3755306654931063,-0.004060736180330096,-0.012326774914908228,-16.26301195788607,97.69287261159536,585,-0.09697411837887009,0.07677535994214908,90.6679783358139,105.08747061671454,0.01547324552592266,0.18074437879254537,data/metadata/20260915T175351369838Z/pass_plus_manifest.json
2023,00-0023459,A.Rodgers,2,1,-2.0319598843343556,-1.0159799421671778,0.0,1,0,0,0,20693,-0.001131078581726837,-1.014848863585451,-2.029697727170902,0.05538853664094591,0.027694268320472955,-0.9882856738467048,-1.974309190529956,18.486818343210118,,,,,,-0.0011310785817268275,0.18165551421266662,data/metadata/20260915T175353868767Z/pass_plus_manifest.json
2024,00-0023459,A.Rodgers,640,17,3.2855196257955948,0.005133624415305617,0.4328125,40,16,12,0,20116,0.05235087245648106,-0.04721724804117544,-30.219038746352282,-0.13358087409954633,-0.00020872011578054115,0.004924904299525076,-30.35261962045183,96.24658353787646,640,-0.13993797861237955,0.14382921774700547,84.78175212583774,107.239838014586,0.052350872456481054,0.18953119898447496,data/metadata/20260915T175356430768Z/pass_plus_manifest.json
2025,00-0023459,A.Rodgers,536,16,18.54329392032405,0.03459569761254487,0.43097014925373134,29,12,5,0,19734,0.04314511131264041,-0.008549413700095543,-4.582485743251212,1.0959562053728045,0.0020446944130089635,0.03664039202555383,-3.4865295378784076,99.47963836534548,536,-0.10217309759787342,0.16500087522960746,88.37489868565706,109.74816309595256,0.04314511131264042,0.18750573218388425,data/metadata/20260915T175358573019Z/pass_plus_manifest.json
2019,00-0023534,D.Colquitt,1,1,-2.305290963675361,-2.305290963675361,0.0,0,0,1,0,19839,0.0422891649790085,-2.3475801286543696,-2.3475801286543696,0.016179876419095667,0.016179876419095667,-2.2891110872562654,-2.331400252235274,-96.60198091938096,,,,,,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2017,00-0023645,D.Anderson,8,2,-4.194470634281602,-0.5243088292852003,0.125,0,0,0,0,19356,0.005665880280425992,-0.5299747095656263,-4.2397976765250105,0.0394655734090159,0.004933196676126988,-0.5193756326090733,-4.200332103115994,60.265750229695804,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0023645,D.Anderson,75,2,-43.60544621523853,-0.5814059495365137,0.37333333333333335,5,0,1,0,19669,0.056297614668360245,-0.637703564204874,-47.82776731536555,-1.2478894602173014,-0.016638526136230684,-0.5980444756727444,-49.07565677558285,54.208080583279,,,,,,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2017,00-0023662,M.Cassel,50,2,-38.206590093826634,-0.7641318018765326,0.3,8,0,0,0,19356,0.005665880280425992,-0.7697976821569587,-38.489884107847935,-1.1689633493953089,-0.023379266987906176,-0.7875110688644388,-39.65884745724324,39.97371591453022,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0023662,M.Cassel,19,2,-13.614351532189175,-0.7165448174836409,0.3684210526315789,1,1,0,0,19669,0.056297614668360245,-0.7728424321520011,-14.68400621088802,0.1463081934493995,0.007700431234178921,-0.7088443862494619,-14.53769801743862,46.4541233621196,,,,,,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
