dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0036290,C.Kmet,2025,2025,1,0,0,1,53.66028224157599,-0.5361190691865487,-0.5792641804991892
00-0036309,D.Mooney,2023,2024,2,0,0,2,67.23209726939045,-0.38095133272931725,-0.8131224593333888
00-0036312,J.Luton,2020,2020,1,0,0,118,71.14468848460037,-0.27246272238975466,-41.34106028976116
00-0036313,B.Mann,2022,2023,2,0,0,3,238.89249724189548,1.6906073287957064,5.042006573917001
00-0036320,J.Charlton,2020,2020,1,0,0,2,155.0624790887828,0.7464286331342177,1.3370867739333487
00-0036322,J.Jefferson,2021,2024,4,0,0,10,156.7285973537178,0.729769661139133,6.985791080703349
00-0036326,C.Claypool,2022,2022,1,0,0,1,312.7368263385458,2.578872280383128,2.563399034857205
00-0036355,J.Herbert,2020,2025,6,6,6,3847,104.52763761440964,0.0943055880021373,214.78971276264284
00-0036358,C.Lamb,2020,2020,1,0,0,1,-7.059093170350465,-1.2219771998781828,-1.299862446045726
00-0036364,L.Bowden,2020,2020,1,0,0,4,135.28231853111413,0.5062669885296182,1.713526969448299
00-0036384,B.DiNucci,2020,2020,1,0,0,50,47.92630445950485,-0.55436970066078,-31.612747341416163
00-0036389,J.Hurts,2020,2025,6,5,5,2814,105.59018952331,0.09987683005634364,193.08738627668654
00-0036398,J.Hightower,2020,2020,1,0,0,1,49.96543526147701,-0.5296115089596682,-0.6074967551272116
00-0036414,C.Akers,2023,2025,2,0,0,2,167.18334495197377,0.8856286442564765,1.7292432557820394
00-0036425,D.Dallas,2022,2023,2,0,0,2,-122.01896373246385,-2.6693298851574316,-5.353001937259059
00-0036442,J.Burrow,2020,2025,6,6,5,3118,107.16960081724204,0.12651680904150409,275.7099411937239
00-0036613,J.Waddle,2025,2025,1,0,0,1,51.61557659793207,-0.561678671107347,-0.6048237824199875
00-0036626,D.Brown,2023,2024,2,0,0,2,69.86163138881278,-0.3494183973347147,-0.7500565885441834
00-0036679,S.Buechele,2025,2025,1,0,0,20,64.34771970257259,-0.4025220167669728,-8.913342561592264
00-0036825,F.Franks,2021,2021,1,0,0,1,-212.58455864241716,-3.8151645595250336,-3.855643341469778
00-0036849,T.Atwell,2024,2024,1,0,0,1,56.91493051599279,-0.49204678605240565,-0.5443976585088868
00-0036879,S.Ehlinger,2022,2022,1,0,0,126,75.99985593304373,-0.27371949649498417,-36.43828549463427
00-0036880,P.Sewell,2024,2024,1,0,0,1,20.116699431601845,-0.9570076432478983,-1.0093585157043792
00-0036893,N.Harris,2022,2022,1,0,0,1,95.46833289439282,-0.0391316448672495,-0.054604890393172165
00-0036898,D.Mills,2021,2025,5,2,0,1214,87.62495801125677,-0.12249466512879796,-183.87619128884003
00-0036900,J.Chase,2022,2023,2,0,0,2,-52.893895838002834,-1.8403505405660154,-3.695043248076227
00-0036913,K.Toney,2021,2023,3,0,0,6,78.65179563578015,-0.23154001761509793,-1.565497400413761
00-0036919,K.Gainwell,2023,2023,1,0,0,1,199.65029376947285,1.2056706118273985,1.2068016904091254
00-0036928,K.Trask,2022,2024,3,0,0,11,42.72770025859343,-0.672869953118801,-7.592048487914868
00-0036929,I.Book,2021,2021,1,0,0,30,13.74701434719637,-1.0234277374894267,-31.917195583025133
00-0036945,J.Fields,2021,2025,5,4,0,1697,93.4069551080769,-0.05621981501774979,-137.1046865942305
00-0036946,K.Mond,2021,2021,1,0,0,3,48.17059877806335,-0.598822425324194,-1.9179036218068153
00-0036963,St. Brown,2023,2024,2,0,0,2,85.5187794155307,-0.11445717815665057,-0.2801341501880552
00-0036971,T.Lawrence,2021,2025,5,5,3,2891,100.3262625473122,0.0310226946995585,9.684313518716674
00-0036972,M.Jones,2021,2025,5,5,2,2036,96.77911552271662,-0.00991020920120686,-78.7385821951776
00-0037012,T.Lance,2021,2025,4,0,0,236,82.54712116363733,-0.17798133728986937,-51.365349284205195
00-0037013,Z.Wilson,2021,2025,4,3,0,1168,82.56193499988898,-0.19380650699998497,-248.58377512588473
00-0037077,S.Howell,2022,2024,3,1,0,753,87.62032445927122,-0.1500569484725993,-113.57244520024415
00-0037175,A.Brown,2022,2022,1,0,0,52,65.4797119949932,-0.40048328855439136,-21.62973977217633
00-0037238,D.London,2023,2023,1,0,0,1,251.23111617087963,1.8303333329500504,1.8314644115317773
00-0037239,C.Olave,2025,2025,1,0,0,1,-191.29186921392431,-3.5981145697653014,-3.641259681077942
00-0037276,T.Chandler,2024,2024,1,0,0,1,48.0783475250306,-0.6037006639992644,-0.6560515364557454
00-0037304,Co.Heyward,2023,2023,1,0,0,1,78.1730757576916,-0.2654631550428902,-0.26433207646116336
00-0037324,C.Oladokun,2024,2025,2,0,0,68,57.24023317201227,-0.49141041976839867,-36.36818763579834
00-0037327,S.Thompson,2022,2024,2,0,0,156,72.28494054189696,-0.31503844900702416,-53.03492942436204
00-0037500,R.Wright,2022,2022,1,0,0,2,83.4078982082782,-0.18445536322123965,-0.3998572174943246
00-0037740,G.Wilson,2022,2023,2,0,0,2,61.5394449074026,-0.4572876319022779,-0.9289174307487515
00-0037742,T.Burks,2025,2025,1,0,0,1,51.46320257226313,-0.563583404657271,-0.6067285159699114
00-0037834,B.Purdy,2022,2025,4,3,3,1511,116.69412938190538,0.2338398775313836,309.9996343467833
00-0038102,K.Pickett,2022,2025,4,2,0,907,93.47623970748576,-0.06733249537293243,-72.4562066543746
00-0038108,B.Zappe,2022,2024,3,1,0,378,79.88780878642937,-0.23779665549923318,-92.86832054573557
00-0038120,B.Hall,2025,2025,1,0,0,1,187.8982309244107,1.1419065877892915,1.0987614764766511
00-0038122,D.Ridder,2022,2024,3,1,0,671,91.29618876367071,-0.09685976602775857,-71.82372813464077
00-0038128,M.Willis,2022,2025,4,0,0,208,103.49495525740559,0.08456520798439096,10.688368503538376
00-0038391,S.Clifford,2023,2023,1,0,0,1,277.67387878028524,2.1505649088843874,2.1516959874661143
00-0038393,D.Wicks,2023,2023,1,0,0,1,171.01123430122317,0.8588410735425963,0.8599721521243231
00-0038400,T.McKee,2024,2025,2,0,0,96,104.4380994030186,0.10432930943556501,5.44101224604025
