season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average
2024,00-0039152,W.Levis,362,12,-59.634115467870984,-0.16473512560185355,0.3674033149171271,41,20,3,0,20116,0.052350872456481054,-0.21708599805833462,-78.58513129711713
2024,00-0033119,J.Brissett,187,7,-32.43579831926582,-0.17345346694794556,0.40641711229946526,18,9,4,0,20116,0.052350872456481054,-0.22580433940442662,-42.225411468627776
2024,00-0038122,D.Ridder,100,5,-20.709902239864256,-0.20709902239864256,0.39,10,6,0,0,20116,0.052350872456481054,-0.2594498948551236,-25.944989485512362
2024,00-0033537,D.Watson,270,7,-57.021373468227715,-0.2111902721045471,0.34444444444444444,33,21,5,0,20116,0.052350872456481054,-0.2635411445610282,-71.1561090314776
2024,00-0038550,H.Hooker,11,3,-2.4966237844988752,-0.22696579859080684,0.36363636363636365,1,1,1,0,20116,0.052350872456481054,-0.2793166710472879,-3.0724833815201666
2024,00-0036898,D.Mills,39,4,-9.323158805782441,-0.23905535399442157,0.358974358974359,2,1,0,0,20116,0.052350872456481054,-0.29140622645090264,-11.364842831585202
2024,00-0034177,T.Boyle,53,3,-13.628598082286771,-0.25714336004314664,0.37735849056603776,2,2,0,0,20116,0.052350872456481054,-0.3094942324996277,-16.403194322480267
2024,00-0039376,S.Rattler,263,7,-72.93719525641929,-0.2773277386175638,0.38022813688212925,22,14,9,0,20116,0.052350872456481054,-0.3296786110740449,-86.7054747124738
2024,00-0037012,T.Lance,47,3,-13.448770277925579,-0.2861440484665017,0.3617021276595745,4,2,0,0,20116,0.052350872456481054,-0.3384949209229828,-15.90926128338019
2024,00-0032950,C.Wentz,24,2,-7.00526359975478,-0.2918859833231158,0.25,4,1,0,0,20116,0.052350872456481054,-0.3442368557795969,-8.261684538710325
2024,00-0038998,J.Haener,50,6,-16.50477038436612,-0.33009540768732243,0.28,6,5,0,0,20116,0.052350872456481054,-0.3824462801438035,-19.122314007190173
2024,00-0036309,D.Mooney,1,1,-0.42381819686852396,-0.42381819686852396,0.0,0,0,0,0,20116,0.052350872456481054,-0.476169069325005,-0.476169069325005
2024,00-0036626,D.Brown,1,1,-0.42986037069931626,-0.42986037069931626,0.0,0,0,0,0,20116,0.052350872456481054,-0.48221124315579733,-0.48221124315579733
2024,00-0033009,T.Boyd,1,1,-0.43441603682003915,-0.43441603682003915,0.0,0,0,0,0,20116,0.052350872456481054,-0.4867669092765202,-0.4867669092765202
2024,00-0034827,D.Moore,1,1,-0.44727218337357044,-0.44727218337357044,0.0,0,0,0,0,20116,0.052350872456481054,-0.4996230558300515,-0.4996230558300515
2024,00-0037327,S.Thompson,40,2,-17.972042848211736,-0.4493010712052934,0.3,6,1,1,0,20116,0.052350872456481054,-0.5016519436617745,-20.066077746470977
2024,00-0026300,J.Johnson,4,3,-1.8097355109639466,-0.45243387774098665,0.25,1,0,0,0,20116,0.052350872456481054,-0.5047847501974677,-2.019139000789871
